TenureMonths,CustomerAge,MonthlyCharges,TotalCharges,ChargesPerTenure,SupportTickets,ContractType,InternetService,PaymentMethod,OnlineSecurity,TechSupport,PaperlessBilling,Dependents,Churn,ClusterPersona
21,38,70.43,1550.11,73.81,0,One year,Fiber optic,Credit card,Yes,Yes,Yes,No,0,2
27,25,87.34,2367.0,87.67,1,Month-to-month,Fiber optic,Credit card,Yes,No,No,Yes,0,2
42,58,76.07,3206.45,76.34,2,Month-to-month,Fiber optic,Mailed check,No,No,No,No,1,0
16,67,82.85,1327.81,82.99,1,One year,Fiber optic,Bank transfer,No,No,No,No,0,2
10,41,60.14,549.03,54.9,1,Two year,DSL,Bank transfer,No,Yes,No,No,0,1
45,67,87.38,3925.78,87.24,1,Month-to-month,Fiber optic,Electronic check,No,Yes,No,Yes,1,0
43,43,70.8,3042.79,70.76,0,Month-to-month,DSL,Electronic check,No,No,No,No,0,0
61,37,46.4,2854.42,46.79,1,Two year,DSL,Mailed check,No,Yes,No,No,0,0
14,34,76.45,1029.69,73.55,2,One year,Fiber optic,Credit card,Yes,Yes,No,No,0,2
19,61,104.75,1968.64,103.61,0,One year,Fiber optic,Electronic check,No,No,No,No,0,2
46,32,49.37,2231.37,48.51,0,One year,DSL,Bank transfer,No,Yes,Yes,No,0,1
15,50,50.62,734.07,48.94,2,Two year,DSL,Electronic check,No,Yes,Yes,Yes,0,1
36,35,81.34,2915.99,81.0,0,One year,Fiber optic,Mailed check,No,No,Yes,Yes,1,0
20,36,90.17,1759.65,87.98,1,Two year,Fiber optic,Bank transfer,Yes,No,No,Yes,1,2
29,54,51.39,1517.4,52.32,1,One year,DSL,Bank transfer,No,Yes,Yes,No,0,1
8,37,83.23,629.58,78.7,1,One year,Fiber optic,Electronic check,No,No,Yes,Yes,0,2
24,37,70.93,1724.69,71.86,1,Month-to-month,DSL,Mailed check,No,No,Yes,No,0,2
52,55,98.07,5082.16,97.73,0,Month-to-month,Fiber optic,Bank transfer,No,No,No,No,1,0
40,61,53.45,2119.63,52.99,1,Two year,DSL,Electronic check,No,Yes,No,No,0,1
10,49,92.5,953.27,95.33,0,Month-to-month,Fiber optic,Electronic check,No,No,No,No,1,2
71,34,38.08,2724.37,38.37,0,One year,DSL,Bank transfer,No,No,Yes,No,0,0
50,35,101.44,5086.61,101.73,0,Month-to-month,Fiber optic,Mailed check,No,No,Yes,No,0,0
8,42,104.08,770.93,96.37,0,Two year,Fiber optic,Electronic check,No,Yes,Yes,No,1,2
15,45,91.94,1420.76,94.72,1,Month-to-month,Fiber optic,Mailed check,No,Yes,Yes,Yes,1,2
8,30,39.25,364.23,45.53,1,Two year,DSL,Credit card,No,No,No,Yes,0,1
30,50,82.75,2472.03,82.4,2,One year,Fiber optic,Electronic check,Yes,Yes,Yes,Yes,0,2
14,43,82.46,1119.62,79.97,0,Month-to-month,Fiber optic,Bank transfer,No,No,Yes,No,1,2
3,21,81.83,201.92,67.31,0,One year,Fiber optic,Electronic check,No,No,Yes,No,1,2
22,30,83.04,1815.24,82.51,0,Month-to-month,Fiber optic,Electronic check,No,No,Yes,Yes,1,2
43,35,92.52,3939.12,91.61,1,Month-to-month,Fiber optic,Electronic check,No,No,Yes,Yes,1,0
25,41,100.55,2504.79,100.19,1,Month-to-month,Fiber optic,Mailed check,Yes,Yes,Yes,No,0,2
34,64,108.32,3662.0,107.71,0,Month-to-month,Fiber optic,Credit card,Yes,No,Yes,Yes,0,0
27,44,25.45,639.25,23.68,4,Two year,No,Electronic check,Yes,No,Yes,No,0,1
39,31,55.18,2127.16,54.54,0,Month-to-month,DSL,Bank transfer,No,No,Yes,Yes,0,1
28,44,42.72,1197.99,42.79,0,One year,DSL,Mailed check,Yes,No,No,No,0,1
21,37,75.22,1546.43,73.64,0,Month-to-month,Fiber optic,Electronic check,No,No,No,No,0,2
25,45,24.55,600.22,24.01,1,One year,No,Mailed check,Yes,No,Yes,No,0,1
62,48,22.19,1405.59,22.67,0,Month-to-month,No,Bank transfer,No,Yes,No,Yes,0,1
35,56,85.53,2966.16,84.75,0,One year,Fiber optic,Credit card,Yes,No,No,Yes,0,0
10,41,110.9,1075.3,107.53,1,One year,Fiber optic,Credit card,Yes,No,Yes,No,0,2
24,61,86.21,2072.08,86.34,1,One year,Fiber optic,Electronic check,No,Yes,Yes,No,0,2
29,52,91.84,2702.85,93.2,2,Month-to-month,Fiber optic,Bank transfer,Yes,No,Yes,No,0,2
20,33,71.23,1438.5,71.92,0,One year,Fiber optic,Electronic check,No,Yes,Yes,No,1,2
3,68,23.06,44.53,14.84,1,Month-to-month,No,Bank transfer,Yes,No,No,Yes,0,1
10,45,100.2,977.23,97.72,3,Month-to-month,Fiber optic,Credit card,No,Yes,Yes,No,1,2
16,31,81.44,1284.74,80.3,0,Month-to-month,Fiber optic,Electronic check,No,Yes,No,No,1,2
72,61,78.38,5630.64,78.2,2,Month-to-month,Fiber optic,Mailed check,No,No,Yes,No,0,0
33,66,101.41,3432.8,104.02,2,Month-to-month,Fiber optic,Bank transfer,Yes,No,No,No,1,0
5,41,84.84,427.42,85.48,1,One year,Fiber optic,Bank transfer,Yes,No,No,Yes,1,2
21,35,78.71,1715.42,81.69,0,Month-to-month,Fiber optic,Electronic check,No,Yes,No,No,1,2
56,39,51.51,2913.3,52.02,0,Month-to-month,DSL,Credit card,Yes,No,No,No,0,0
14,50,45.81,552.76,39.48,2,Month-to-month,DSL,Bank transfer,No,Yes,Yes,No,0,1
47,57,98.25,4599.6,97.86,1,One year,Fiber optic,Electronic check,No,Yes,No,Yes,0,0
5,48,92.52,460.08,92.02,2,One year,Fiber optic,Electronic check,No,Yes,Yes,No,0,2
1,43,63.71,69.4,69.4,4,Month-to-month,DSL,Bank transfer,Yes,Yes,No,Yes,0,2
52,59,84.63,4403.18,84.68,2,One year,Fiber optic,Electronic check,Yes,No,Yes,No,0,0
15,38,51.29,708.92,47.26,1,One year,DSL,Electronic check,Yes,No,Yes,Yes,0,1
16,54,31.09,435.73,27.23,0,Month-to-month,DSL,Bank transfer,No,Yes,No,No,0,1
26,38,20.34,527.13,20.27,0,One year,No,Bank transfer,Yes,No,Yes,No,0,1
32,47,22.4,702.6,21.96,1,One year,No,Bank transfer,No,Yes,Yes,Yes,0,1
1,40,56.75,101.21,101.21,2,One year,DSL,Mailed check,No,No,Yes,No,0,2
13,41,82.85,1077.19,82.86,1,Month-to-month,Fiber optic,Bank transfer,Yes,No,No,No,1,2
24,37,51.71,1267.9,52.83,0,Month-to-month,DSL,Credit card,No,Yes,No,No,0,1
32,58,22.88,754.72,23.58,2,Month-to-month,No,Electronic check,Yes,No,No,Yes,0,1
9,33,66.43,595.41,66.16,1,One year,DSL,Bank transfer,Yes,Yes,No,No,0,2
19,33,42.76,850.94,44.79,1,Two year,DSL,Credit card,Yes,No,Yes,No,0,1
14,67,96.79,1338.69,95.62,2,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,Yes,No,0,2
27,53,73.51,1982.75,73.44,3,Month-to-month,Fiber optic,Bank transfer,No,No,No,No,1,2
51,18,55.03,2808.7,55.07,0,One year,DSL,Electronic check,No,No,No,Yes,0,0
17,35,68.34,1132.2,66.6,1,Two year,Fiber optic,Mailed check,Yes,Yes,Yes,No,0,2
6,20,60.48,322.19,53.7,1,Two year,DSL,Bank transfer,No,Yes,Yes,No,0,1
12,30,27.87,289.28,24.11,1,One year,No,Bank transfer,No,No,Yes,No,0,1
70,18,41.95,2899.98,41.43,1,Two year,DSL,Credit card,Yes,Yes,Yes,No,0,0
11,40,33.68,365.65,33.24,0,Month-to-month,No,Electronic check,Yes,Yes,Yes,No,0,1
7,28,93.03,661.87,94.55,0,Month-to-month,Fiber optic,Electronic check,No,No,Yes,No,1,2
16,42,89.67,1390.56,86.91,0,Month-to-month,Fiber optic,Electronic check,No,No,Yes,No,1,2
21,22,23.27,490.45,23.35,1,One year,No,Bank transfer,No,Yes,Yes,No,0,1
15,42,22.82,333.32,22.22,0,Month-to-month,No,Electronic check,No,Yes,No,No,0,1
5,37,99.37,529.31,105.86,2,Month-to-month,Fiber optic,Bank transfer,No,No,No,No,1,2
29,60,55.68,1597.08,55.07,1,Month-to-month,DSL,Electronic check,No,Yes,Yes,No,0,1
27,58,106.13,2920.97,108.18,2,Month-to-month,Fiber optic,Mailed check,No,No,Yes,Yes,0,2
38,51,107.33,4105.01,108.03,1,Two year,Fiber optic,Electronic check,No,No,No,No,0,0
27,38,84.44,2268.12,84.0,1,Month-to-month,Fiber optic,Credit card,Yes,No,Yes,No,1,2
66,65,93.25,6135.5,92.96,0,Month-to-month,Fiber optic,Bank transfer,No,Yes,No,No,1,0
40,23,53.16,2157.3,53.93,2,One year,DSL,Credit card,Yes,Yes,Yes,Yes,0,1
34,25,84.91,2875.35,84.57,0,Month-to-month,Fiber optic,Bank transfer,No,Yes,No,Yes,0,0
52,40,98.32,5114.09,98.35,0,One year,Fiber optic,Electronic check,No,No,Yes,Yes,0,0
25,69,54.45,1343.46,53.74,0,Two year,DSL,Electronic check,No,No,Yes,No,0,1
20,39,63.79,1256.36,62.82,0,Two year,Fiber optic,Credit card,Yes,Yes,No,Yes,0,2
29,39,72.08,2047.46,70.6,0,Two year,Fiber optic,Bank transfer,No,No,No,No,0,2
2,24,79.77,207.45,103.72,0,Month-to-month,Fiber optic,Electronic check,No,No,Yes,No,1,2
26,53,50.86,1308.6,50.33,0,One year,DSL,Bank transfer,No,Yes,No,No,0,1
21,53,75.15,1582.95,75.38,3,Month-to-month,Fiber optic,Mailed check,No,Yes,Yes,Yes,1,2
31,51,64.7,2023.03,65.26,0,Month-to-month,DSL,Electronic check,No,Yes,No,No,1,2
47,34,51.19,2453.37,52.2,1,Month-to-month,Fiber optic,Electronic check,Yes,No,Yes,No,0,1
35,33,117.21,4082.66,116.65,1,Month-to-month,Fiber optic,Credit card,No,No,Yes,Yes,1,0
12,26,90.83,1009.32,84.11,1,Two year,Fiber optic,Electronic check,No,No,No,No,0,2
42,43,48.74,2050.39,48.82,2,Month-to-month,DSL,Electronic check,Yes,Yes,Yes,No,0,1
67,29,102.46,6882.45,102.72,2,One year,Fiber optic,Electronic check,Yes,Yes,Yes,No,0,0
48,27,19.25,905.17,18.86,3,Month-to-month,No,Electronic check,Yes,No,Yes,No,0,1
6,36,46.76,299.72,49.95,1,Month-to-month,DSL,Mailed check,No,No,Yes,Yes,0,1
35,36,24.4,854.04,24.4,2,Two year,No,Electronic check,No,No,No,No,0,1
8,35,106.32,838.29,104.79,1,Month-to-month,Fiber optic,Electronic check,No,No,Yes,No,1,2
18,47,96.48,1783.02,99.06,1,One year,Fiber optic,Credit card,No,No,No,No,1,2
31,42,57.2,1762.01,56.84,2,Month-to-month,DSL,Electronic check,Yes,Yes,Yes,No,0,1
28,38,57.79,1676.15,59.86,2,Month-to-month,DSL,Mailed check,No,No,Yes,Yes,0,1
47,44,19.03,895.43,19.05,1,Month-to-month,No,Mailed check,Yes,No,Yes,Yes,0,1
67,30,100.06,6674.94,99.63,1,Two year,Fiber optic,Bank transfer,Yes,Yes,No,Yes,0,0
33,43,70.48,2259.28,68.46,1,Month-to-month,DSL,Credit card,No,No,Yes,Yes,0,2
17,43,81.63,1429.43,84.08,1,Month-to-month,Fiber optic,Electronic check,Yes,Yes,Yes,Yes,1,2
3,23,45.3,169.31,56.44,0,Month-to-month,DSL,Credit card,No,No,Yes,No,0,1
56,53,74.63,4207.26,75.13,1,One year,Fiber optic,Bank transfer,No,No,No,No,0,0
21,31,87.49,1882.22,89.63,0,One year,Fiber optic,Bank transfer,No,No,Yes,No,0,2
22,43,25.46,622.99,28.32,1,One year,No,Electronic check,Yes,No,No,No,0,1
24,55,97.66,2268.89,94.54,2,Month-to-month,Fiber optic,Electronic check,No,No,Yes,No,0,2
32,53,66.56,2067.89,64.62,2,Two year,DSL,Bank transfer,No,No,Yes,No,0,2
32,42,92.78,2959.26,92.48,1,One year,Fiber optic,Credit card,No,Yes,Yes,Yes,0,2
18,37,82.34,1516.28,84.24,1,Two year,Fiber optic,Bank transfer,No,No,Yes,No,0,2
21,53,82.7,1746.83,83.18,3,Two year,Fiber optic,Electronic check,No,Yes,Yes,Yes,0,2
14,50,27.04,388.73,27.77,2,One year,No,Electronic check,No,No,No,Yes,0,1
12,34,80.99,956.32,79.69,1,Month-to-month,Fiber optic,Bank transfer,No,Yes,Yes,No,1,2
12,32,52.42,599.38,49.95,0,Two year,DSL,Bank transfer,No,Yes,Yes,No,0,1
21,18,18.5,385.09,18.34,0,Two year,No,Electronic check,No,Yes,Yes,No,0,1
10,43,40.57,396.75,39.68,1,Month-to-month,DSL,Electronic check,No,No,Yes,No,1,1
1,41,46.73,46.73,46.73,2,Month-to-month,DSL,Mailed check,No,Yes,Yes,Yes,1,1
17,55,105.17,1809.94,106.47,0,Two year,Fiber optic,Bank transfer,Yes,Yes,No,No,0,2
7,46,28.4,198.42,28.35,2,Month-to-month,No,Bank transfer,No,Yes,Yes,Yes,0,1
25,58,92.5,2327.88,93.12,1,Two year,Fiber optic,Credit card,Yes,Yes,No,Yes,0,2
13,33,43.64,563.42,43.34,1,Month-to-month,DSL,Bank transfer,No,Yes,Yes,Yes,0,1
32,55,86.74,2799.61,87.49,1,Month-to-month,Fiber optic,Electronic check,Yes,No,Yes,No,1,2
8,35,48.13,346.36,43.29,0,Month-to-month,DSL,Bank transfer,No,Yes,Yes,No,1,1
3,51,49.46,98.89,32.96,0,Month-to-month,DSL,Credit card,No,No,Yes,No,0,1
21,24,33.65,694.83,33.09,2,Month-to-month,DSL,Credit card,No,Yes,Yes,No,0,1
16,44,103.44,1681.76,105.11,2,Month-to-month,Fiber optic,Credit card,Yes,No,Yes,No,1,2
6,18,24.07,131.74,21.96,2,One year,No,Electronic check,No,No,Yes,No,0,1
40,38,52.95,2189.38,54.73,0,Two year,DSL,Bank transfer,Yes,Yes,No,No,0,1
9,47,65.29,551.92,61.32,1,Month-to-month,DSL,Credit card,No,No,Yes,No,1,2
12,35,98.77,1178.49,98.21,0,One year,Fiber optic,Bank transfer,No,Yes,No,No,1,2
45,29,86.48,3827.43,85.05,0,One year,Fiber optic,Electronic check,No,Yes,Yes,No,0,0
33,52,18.5,662.23,20.07,3,One year,No,Credit card,Yes,No,No,No,0,1
8,40,59.7,473.39,59.17,0,One year,DSL,Mailed check,No,No,Yes,No,1,1
17,36,47.95,732.75,43.1,1,Month-to-month,DSL,Electronic check,No,No,Yes,No,0,1
7,42,102.13,703.83,100.55,1,Month-to-month,Fiber optic,Electronic check,No,Yes,No,No,1,2
43,73,92.77,3899.16,90.68,2,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,Yes,No,0,0
43,55,84.26,3666.01,85.26,2,Month-to-month,Fiber optic,Mailed check,No,Yes,Yes,No,0,0
72,55,83.12,5952.42,82.67,1,One year,Fiber optic,Electronic check,Yes,No,Yes,Yes,0,0
72,47,40.54,2920.39,40.56,0,Month-to-month,DSL,Bank transfer,No,No,Yes,No,0,0
13,43,69.27,874.58,67.28,0,Two year,Fiber optic,Bank transfer,Yes,Yes,No,No,0,2
38,18,80.98,3070.16,80.79,3,Two year,Fiber optic,Bank transfer,No,No,No,Yes,0,0
3,33,57.28,199.96,66.65,0,Two year,Fiber optic,Electronic check,Yes,Yes,No,No,1,1
26,36,93.9,2427.18,93.35,3,Two year,Fiber optic,Bank transfer,No,No,No,No,1,2
31,19,97.03,3027.47,97.66,2,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,Yes,0,0
10,28,41.66,318.18,31.82,2,One year,DSL,Electronic check,No,No,Yes,Yes,0,1
13,18,48.5,585.93,45.07,2,Month-to-month,DSL,Mailed check,No,No,No,No,0,1
43,41,101.34,4359.65,101.39,0,Two year,Fiber optic,Credit card,Yes,No,Yes,No,0,0
32,51,55.02,1735.47,54.23,1,Two year,DSL,Mailed check,Yes,Yes,Yes,Yes,0,1
68,55,97.01,6637.51,97.61,2,Two year,Fiber optic,Electronic check,Yes,No,Yes,No,0,0
63,46,87.8,5560.82,88.27,1,Month-to-month,Fiber optic,Mailed check,No,Yes,No,No,0,0
4,30,80.59,370.09,92.52,1,One year,Fiber optic,Mailed check,No,No,Yes,No,1,2
15,18,41.06,619.37,41.29,0,Month-to-month,DSL,Credit card,No,No,No,No,0,1
9,20,20.69,160.18,17.8,5,Month-to-month,No,Credit card,Yes,Yes,Yes,Yes,0,1
39,26,64.06,2519.58,64.6,0,One year,DSL,Electronic check,No,No,Yes,No,0,0
28,31,44.54,1210.28,43.22,1,Month-to-month,DSL,Electronic check,No,No,No,No,1,1
9,40,69.45,614.91,68.32,0,Two year,Fiber optic,Electronic check,No,Yes,No,No,0,2
11,29,87.77,979.79,89.07,0,Month-to-month,Fiber optic,Bank transfer,No,Yes,Yes,No,1,2
53,46,56.26,2956.95,55.79,0,Two year,DSL,Electronic check,Yes,No,Yes,Yes,0,0
16,39,85.37,1449.57,90.6,1,Month-to-month,Fiber optic,Electronic check,No,No,Yes,Yes,1,2
2,42,113.18,251.58,125.79,2,Two year,Fiber optic,Mailed check,Yes,Yes,No,Yes,0,2
8,55,53.7,397.43,49.68,2,Two year,DSL,Electronic check,No,Yes,Yes,Yes,0,1
72,27,67.68,4906.64,68.15,0,Two year,DSL,Electronic check,No,Yes,Yes,No,0,0
46,47,88.9,4146.55,90.14,2,Month-to-month,Fiber optic,Mailed check,Yes,No,No,No,1,0
7,41,62.73,386.31,55.19,2,Two year,Fiber optic,Electronic check,Yes,Yes,Yes,Yes,0,1
26,37,47.61,1282.67,49.33,2,Month-to-month,DSL,Mailed check,Yes,No,Yes,Yes,0,1
44,52,45.92,1976.38,44.92,2,Month-to-month,DSL,Credit card,No,Yes,No,Yes,1,1
4,52,90.79,362.84,90.71,0,Month-to-month,Fiber optic,Electronic check,Yes,Yes,No,No,1,2
48,30,84.4,4057.15,84.52,1,Two year,Fiber optic,Mailed check,Yes,Yes,No,No,0,0
32,39,62.67,1982.47,61.95,0,Month-to-month,DSL,Credit card,Yes,No,Yes,No,1,1
12,45,99.67,1172.86,97.74,2,Two year,Fiber optic,Credit card,No,Yes,No,No,0,2
36,38,52.72,1868.04,51.89,3,One year,DSL,Mailed check,No,No,No,No,0,1
29,49,59.01,1692.34,58.36,2,Month-to-month,DSL,Bank transfer,No,Yes,Yes,Yes,0,1
30,45,40.32,1174.94,39.16,1,Two year,DSL,Electronic check,Yes,No,No,No,0,1
26,63,74.4,1973.41,75.9,0,Month-to-month,Fiber optic,Bank transfer,No,Yes,Yes,No,1,2
10,23,108.87,1037.26,103.73,0,Two year,Fiber optic,Credit card,Yes,No,No,No,0,2
12,40,74.18,953.11,79.43,2,Month-to-month,Fiber optic,Mailed check,No,No,No,No,0,2
19,31,71.63,1356.21,71.38,1,One year,Fiber optic,Mailed check,Yes,Yes,No,No,0,2
24,49,88.65,2054.31,85.6,3,Month-to-month,Fiber optic,Electronic check,Yes,Yes,Yes,Yes,1,2
37,22,43.64,1641.86,44.37,1,Month-to-month,DSL,Bank transfer,No,No,No,Yes,1,1
72,46,63.7,4573.05,63.51,0,Month-to-month,DSL,Bank transfer,Yes,Yes,Yes,No,0,0
27,34,19.98,497.79,18.44,1,Month-to-month,No,Bank transfer,Yes,No,No,Yes,0,1
37,33,69.23,2549.49,68.91,0,Month-to-month,Fiber optic,Electronic check,No,Yes,No,Yes,1,0
43,24,82.87,3536.31,82.24,1,Month-to-month,Fiber optic,Mailed check,No,No,Yes,No,1,0
38,36,53.21,2067.19,54.4,1,Month-to-month,DSL,Bank transfer,No,No,Yes,No,1,1
10,55,70.34,676.08,67.61,1,Two year,Fiber optic,Electronic check,No,Yes,No,No,0,2
57,41,65.72,3699.81,64.91,3,One year,Fiber optic,Electronic check,No,No,Yes,Yes,1,0
51,49,71.16,3604.41,70.67,1,Two year,DSL,Electronic check,No,No,No,Yes,0,0
25,61,110.12,2718.17,108.73,3,One year,Fiber optic,Bank transfer,No,Yes,Yes,No,1,2
10,45,91.06,948.3,94.83,1,One year,Fiber optic,Bank transfer,No,Yes,No,No,0,2
23,35,64.35,1487.12,64.66,0,One year,DSL,Credit card,Yes,No,Yes,No,0,2
4,47,59.88,188.2,47.05,1,Month-to-month,DSL,Electronic check,Yes,Yes,Yes,No,1,1
62,35,68.71,4222.93,68.11,0,One year,DSL,Credit card,No,No,No,No,0,0
13,35,70.9,906.15,69.7,1,Month-to-month,DSL,Bank transfer,No,No,No,Yes,1,2
18,23,93.38,1616.41,89.8,0,Two year,Fiber optic,Mailed check,No,Yes,Yes,Yes,1,2
59,53,40.54,2352.92,39.88,2,One year,DSL,Electronic check,Yes,No,No,Yes,0,1
54,37,55.56,3011.42,55.77,0,Month-to-month,DSL,Electronic check,Yes,Yes,Yes,No,0,0
29,44,27.18,851.86,29.37,4,One year,No,Credit card,Yes,No,No,Yes,0,1
68,29,87.02,5853.19,86.08,1,Month-to-month,Fiber optic,Electronic check,Yes,Yes,Yes,No,0,0
10,47,87.22,967.62,96.76,0,Month-to-month,Fiber optic,Electronic check,No,No,Yes,No,1,2
30,32,88.48,2667.51,88.92,1,Month-to-month,Fiber optic,Electronic check,No,No,Yes,Yes,1,2
10,40,21.66,176.85,17.69,0,Two year,No,Credit card,No,No,Yes,No,0,1
49,52,54.99,2747.97,56.08,2,One year,DSL,Electronic check,No,Yes,No,No,0,0
48,51,111.76,5379.21,112.07,4,Two year,Fiber optic,Electronic check,No,Yes,No,No,0,0
71,41,88.83,6336.55,89.25,3,Month-to-month,Fiber optic,Mailed check,No,No,Yes,No,0,0
23,20,44.64,1055.6,45.9,2,One year,DSL,Mailed check,No,Yes,Yes,Yes,0,1
72,77,87.9,6366.6,88.42,0,One year,Fiber optic,Mailed check,No,Yes,No,No,0,0
9,62,20.8,143.37,15.93,1,Month-to-month,No,Mailed check,No,No,Yes,Yes,0,1
22,50,26.53,611.92,27.81,1,One year,No,Credit card,No,No,Yes,No,0,1
9,32,60.08,542.61,60.29,3,Month-to-month,DSL,Credit card,No,Yes,Yes,No,0,1
27,40,46.48,1275.37,47.24,1,Month-to-month,DSL,Bank transfer,No,Yes,Yes,No,0,1
10,35,22.76,203.94,20.39,1,Month-to-month,No,Electronic check,No,No,Yes,Yes,0,1
49,57,119.14,5815.26,118.68,1,One year,Fiber optic,Bank transfer,No,No,No,No,1,0
33,45,56.24,1835.68,55.63,1,Month-to-month,DSL,Electronic check,No,No,Yes,No,0,1
8,32,103.36,852.48,106.56,0,Month-to-month,Fiber optic,Electronic check,Yes,Yes,No,No,0,2
41,36,41.35,,41.28,3,Month-to-month,DSL,Credit card,Yes,No,Yes,Yes,0,1
65,55,32.34,2083.11,32.05,2,Month-to-month,DSL,Credit card,No,No,Yes,No,0,1
35,61,26.16,903.72,25.82,3,Month-to-month,No,Bank transfer,Yes,Yes,Yes,Yes,0,1
6,60,38.5,274.77,45.8,2,Month-to-month,DSL,Credit card,No,No,No,Yes,1,1
20,51,41.85,854.28,42.71,4,One year,DSL,Credit card,Yes,No,Yes,No,0,1
38,38,53.04,2031.61,53.46,2,Month-to-month,DSL,Bank transfer,No,No,Yes,Yes,0,1
19,18,100.97,1927.73,101.46,2,One year,Fiber optic,Bank transfer,No,No,No,No,1,2
9,45,66.71,637.94,70.88,2,One year,DSL,Bank transfer,No,No,Yes,No,0,2
53,41,94.9,4992.59,94.2,2,Month-to-month,Fiber optic,Electronic check,No,No,No,No,0,0
18,43,97.84,1792.22,99.57,0,Month-to-month,Fiber optic,Electronic check,Yes,No,No,Yes,1,2
65,42,100.54,6537.88,100.58,1,Two year,Fiber optic,Bank transfer,No,Yes,Yes,Yes,0,0
15,26,36.84,519.93,34.66,1,Month-to-month,DSL,Electronic check,No,No,Yes,Yes,1,1
17,48,116.16,1974.05,116.12,3,Month-to-month,Fiber optic,Electronic check,Yes,No,Yes,Yes,1,2
14,49,60.87,842.53,60.18,2,Month-to-month,DSL,Electronic check,Yes,No,No,No,0,1
20,50,100.52,2022.41,101.12,0,One year,Fiber optic,Mailed check,No,No,Yes,No,1,2
32,53,81.01,2623.87,82.0,0,One year,Fiber optic,Credit card,Yes,Yes,No,No,0,2
9,49,62.75,525.22,58.36,0,Two year,DSL,Bank transfer,No,No,No,No,0,1
8,37,86.25,750.14,93.77,1,Two year,Fiber optic,Mailed check,Yes,No,Yes,Yes,0,2
4,41,51.67,147.84,36.96,0,Month-to-month,DSL,Credit card,No,No,No,Yes,1,1
3,43,52.38,131.22,43.74,1,Month-to-month,DSL,Credit card,Yes,Yes,Yes,No,0,1
6,43,79.43,545.56,90.93,0,Month-to-month,Fiber optic,Mailed check,No,Yes,Yes,No,1,2
15,53,75.72,1083.86,72.26,2,Month-to-month,Fiber optic,Credit card,No,Yes,No,No,1,2
26,49,50.04,1280.21,49.24,1,Month-to-month,DSL,Mailed check,Yes,No,Yes,Yes,0,1
31,66,62.66,1915.2,61.78,2,Month-to-month,DSL,Electronic check,No,No,Yes,Yes,0,2
25,68,59.33,1398.66,55.95,3,Month-to-month,DSL,Electronic check,No,No,No,Yes,1,1
60,42,89.52,5367.49,89.46,1,Month-to-month,Fiber optic,Bank transfer,No,Yes,No,No,0,0
72,18,86.58,6249.19,86.79,3,Month-to-month,Fiber optic,Mailed check,No,Yes,Yes,Yes,0,0
18,56,44.2,811.1,45.06,0,Two year,DSL,Bank transfer,Yes,No,No,No,0,1
9,35,37.26,314.5,34.94,1,One year,DSL,Bank transfer,No,No,Yes,No,0,1
72,32,92.89,6618.54,91.92,1,Two year,Fiber optic,Electronic check,No,No,No,No,0,0
52,37,87.55,4528.17,87.08,0,Month-to-month,Fiber optic,Electronic check,No,Yes,No,Yes,1,0
49,36,74.55,3620.9,73.9,1,Month-to-month,Fiber optic,Mailed check,No,No,Yes,No,0,0
14,49,30.36,433.63,30.97,0,Month-to-month,No,Electronic check,Yes,Yes,Yes,Yes,0,1
42,23,42.99,1785.2,42.5,1,Month-to-month,DSL,Bank transfer,Yes,No,No,No,0,1
25,29,21.72,556.64,22.27,1,Month-to-month,No,Bank transfer,No,No,No,Yes,1,1
22,46,48.42,997.16,45.33,0,Two year,DSL,Bank transfer,No,No,Yes,Yes,0,1
21,49,18.75,415.11,19.77,1,Two year,No,Electronic check,Yes,No,Yes,No,0,1
33,49,57.04,1899.35,57.56,2,Month-to-month,DSL,Bank transfer,Yes,No,Yes,No,0,1
61,32,64.71,3907.48,64.06,1,Month-to-month,Fiber optic,Credit card,No,Yes,Yes,Yes,0,0
72,30,84.32,6044.68,83.95,0,Month-to-month,Fiber optic,Credit card,Yes,No,No,No,0,0
16,35,66.75,1055.53,65.97,1,Month-to-month,Fiber optic,Credit card,Yes,Yes,Yes,Yes,0,2
27,44,104.03,2845.37,105.38,1,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,No,Yes,1,2
21,59,76.67,1598.64,76.13,3,Month-to-month,Fiber optic,Electronic check,No,No,No,No,0,2
32,18,24.54,795.85,24.87,2,Month-to-month,No,Bank transfer,No,No,No,Yes,0,1
19,39,112.29,2132.3,112.23,2,Month-to-month,Fiber optic,Credit card,No,No,Yes,No,1,2
13,26,102.43,1362.3,104.79,0,Month-to-month,Fiber optic,Electronic check,No,Yes,No,No,1,2
16,22,62.57,1005.85,62.87,0,Month-to-month,DSL,Electronic check,Yes,No,No,No,0,1
14,53,24.65,300.56,21.47,1,Month-to-month,No,Electronic check,Yes,Yes,Yes,Yes,0,1
20,48,77.41,1538.07,76.9,1,Two year,Fiber optic,Bank transfer,No,Yes,Yes,No,0,2
6,47,98.66,,104.34,0,Month-to-month,Fiber optic,Mailed check,Yes,Yes,No,No,0,2
14,53,90.98,1284.1,91.72,2,Two year,Fiber optic,Electronic check,No,Yes,Yes,No,0,2
